WKT,name,description
"POINT (78.5759667 17.5416682)",114,Throwball Court
"POINT (78.5769075 17.5435825)",115,
"POINT (78.5774064 17.5433677)",116,
"POINT (78.5776755 17.5443725)",117,
"POINT (78.5781073 17.5441909)",118,
"POINT (78.578287 17.5445643)",119,
"POINT (78.578574 17.5444057)",120,
"POINT (78.5778686 17.5447484)",121,
"POINT (78.5774394 17.54493)",122,
"POINT (78.5773643 17.544554)",123,
"POINT (78.5772651 17.5446231)",124,
"POINT (78.5781205 17.5439844)",125,
"POINT (78.5780695 17.5438157)",126,
"POINT (78.5780534 17.5436417)",127,
"POINT (78.5779703 17.5433528)",128,
"POINT (78.5778898 17.5430842)",129,
"POINT (78.5764854 17.5452937)",130,Vishawakarma Bhavan Entrance 1
"POINT (78.576067 17.5455034)",131,
"POINT (78.5758679 17.5455788)",132,
"POINT (78.5751276 17.5450673)",133,
"POINT (78.5753716 17.5456034)",134,
"POINT (78.5754333 17.5458003)",135,
"POINT (78.5747682 17.5458719)",136,
"POINT (78.5742371 17.54601)",137,
"POINT (78.5743175 17.5463195)",138,
"POINT (78.5737604 17.5455048)",139,Philosopher's Stone
"POINT (78.5753428 17.5428059)",140,Volleyball Court
